scenario,r,rr,value_min,Region_1_Coord,Region_2_Coord
Dif. to ref.: avg_avail,R_AL,R_GR,0,Point (20.06838460591877649 41.14228482341689386),Point (22.95974634066739384 39.06853720123029206)
Dif. to ref.: avg_avail,R_AL,R_ME,0.00E+00,Point (20.06838460591877649 41.14228482341689386),Point (19.25030495955028798 42.79159324834609635)
Dif. to ref.: avg_avail,R_AL,R_MK,-8.33E-11,Point (20.06838460591877649 41.14228482341689386),Point (21.69747626732899093 41.5996823122770536)
Dif. to ref.: avg_avail,R_AL,R_RS,0,Point (20.06838460591877649 41.14228482341689386),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_AT,R_CH,-0.05067,Point (14.14019348879524962 47.59290260691519592),Point (8.234429172288662 46.80256937605332013)
Dif. to ref.: avg_avail,R_AT,R_CZ,0,Point (14.14019348879524962 47.59290260691519592),Point (15.3384120900681058 49.74285888947336787)
Dif. to ref.: avg_avail,R_AT,R_DE,-0.11431,Point (14.14019348879524962 47.59290260691519592),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_AT,R_HU,-0.05777,Point (14.14019348879524962 47.59290260691519592),Point (19.41344796118307769 47.16650222537332127)
Dif. to ref.: avg_avail,R_AT,R_IT,-0.21407,Point (14.14019348879524962 47.59290260691519592),Point (12.07174297035683175 42.79578239851078791)
Dif. to ref.: avg_avail,R_AT,R_SI,-0.09234,Point (14.14019348879524962 47.59290260691519592),Point (14.82653748920358083 46.12356376353400123)
Dif. to ref.: avg_avail,R_AT,R_SK,0,Point (14.14019348879524962 47.59290260691519592),Point (19.49165388227613604 48.70753128946242327)
Dif. to ref.: avg_avail,R_BA,R_HR,0.00E+00,Point (17.78653069680730781 44.1681152245203279),Point (16.41177821249747026 45.05116186966237279)
Dif. to ref.: avg_avail,R_BA,R_RS,0,Point (17.78653069680730781 44.1681152245203279),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_BE,R_DE,0,Point (4.66398918713680199 50.64285116363035399),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_BE,R_FR,-0.012056,Point (4.66398918713680199 50.64285116363035399),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_BE,R_LU,0,Point (4.66398918713680199 50.64285116363035399),Point (6.0878139690320392 49.77062957536391963)
Dif. to ref.: avg_avail,R_BE,R_NL,0,Point (4.66398918713680199 50.64285116363035399),Point (5.60341802694661251 52.2492632896254392)
Dif. to ref.: avg_avail,R_BE,R_UK,0,Point (4.66398918713680199 50.64285116363035399),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_BG,R_GR,0,Point (25.23150624402950726 42.76137671439207821),Point (22.95974634066739384 39.06853720123029206)
Dif. to ref.: avg_avail,R_BG,R_MK,-0.0005054,Point (25.23150624402950726 42.76137671439207821),Point (21.69747626732899093 41.5996823122770536)
Dif. to ref.: avg_avail,R_BG,R_RO,0,Point (25.23150624402950726 42.76137671439207821),Point (24.96925875927502858 45.84361473342863746)
Dif. to ref.: avg_avail,R_BG,R_RS,0,Point (25.23150624402950726 42.76137671439207821),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_CH,R_AT,-0.03101,Point (8.234429172288662 46.80256937605332013),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_CH,R_DE,-0.08909,Point (8.234429172288662 46.80256937605332013),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_CH,R_FR,-0.026102,Point (8.234429172288662 46.80256937605332013),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_CH,R_IT,-0.06956,Point (8.234429172288662 46.80256937605332013),Point (12.07174297035683175 42.79578239851078791)
Dif. to ref.: avg_avail,R_CZ,R_AT,0,Point (15.3384120900681058 49.74285888947336787),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_CZ,R_DE,-0.118919,Point (15.3384120900681058 49.74285888947336787),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_CZ,R_PL,-0.00041697,Point (15.3384120900681058 49.74285888947336787),Point (19.40088385467417353 52.1246100865655464)
Dif. to ref.: avg_avail,R_CZ,R_SK,-0.011254,Point (15.3384120900681058 49.74285888947336787),Point (19.49165388227613604 48.70753128946242327)
Dif. to ref.: avg_avail,R_DE,R_AT,-0.001236,Point (10.39366155475279996 51.10659218573432838),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_DE,R_BE,-0.028147,Point (10.39366155475279996 51.10659218573432838),Point (4.66398918713680199 50.64285116363035399)
Dif. to ref.: avg_avail,R_DE,R_CH,0,Point (10.39366155475279996 51.10659218573432838),Point (8.234429172288662 46.80256937605332013)
Dif. to ref.: avg_avail,R_DE,R_CZ,-0.005442,Point (10.39366155475279996 51.10659218573432838),Point (15.3384120900681058 49.74285888947336787)
Dif. to ref.: avg_avail,R_DE,R_DK,0,Point (10.39366155475279996 51.10659218573432838),Point (10.0462984146926555 55.96339824225690762)
Dif. to ref.: avg_avail,R_DE,R_FR,0,Point (10.39366155475279996 51.10659218573432838),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_DE,R_LU,0.00E+00,Point (10.39366155475279996 51.10659218573432838),Point (6.0878139690320392 49.77062957536391963)
Dif. to ref.: avg_avail,R_DE,R_NL,0,Point (10.39366155475279996 51.10659218573432838),Point (5.60341802694661251 52.2492632896254392)
